,0.625 MHz,1.25 MHz,1.875 MHz,2.5 MHz,3.125 MHz,3.75 MHz,4.375 MHz,5 MHz,5.625 MHz,6.25 MHz
0,6912,-9984,-5888,11264,-10496,-4096,-15360,7680,1536,12800
1,14080,-15360,-12544,-2304,10496,-5888,7936,15360,10240,12800
2,16128,512,13568,-7680,-10496,13312,10496,2048,15104,12800
3,11776,15616,4096,14592,10496,-15872,-14592,-14080,14080,12800
4,3072,8960,-16128,-15872,-10496,12288,-1536,-10752,7680,12800
5,-6912,-9984,5888,11264,10496,-4096,15360,7424,-1536,12800
6,-14080,-15360,12544,-2304,-10496,-5888,-7936,15360,-10240,12800
7,-16128,512,-13568,-7680,10496,13312,-10496,1792,-15104,12800
8,-11776,15616,-4096,14592,-10496,-15872,14592,-14080,-14336,12800
9,-3072,9216,16128,-15872,10496,12288,1536,-10752,-7936,12800
10,12544,-16128,-15360,13568,8448,5888,-15360,5632,-13312,12032
11,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
12,13568,13824,9472,-3840,8448,-12288,10496,-13312,3584,12032
13,5888,12032,-15360,12288,-8448,15872,-14336,3840,11776,12032
14,-4096,-6400,0,-16128,8192,-13568,-1536,15616,15360,12032
15,-12544,-16128,15360,13568,-8448,5888,15360,5888,13312,12032
16,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
17,-13824,13824,-9728,-3840,-8448,-12288,-10496,-13312,-3584,12032
18,-6144,12032,15360,12288,8192,15872,14592,3840,-11776,12032
19,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
20,12544,-16128,-15360,13824,8448,5888,-15360,5632,-13312,12032
21,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
22,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
23,6144,12288,-15360,12288,-8448,15872,-14336,3840,11776,12032
24,-3840,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
25,-12544,-16128,15360,13824,-8448,5888,15616,5632,13312,12032
26,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
27,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
28,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
29,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
30,12544,-16128,-15360,13824,8192,5888,-15360,5632,-13312,12032
31,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
32,13824,13824,9472,-3840,8448,-12288,10496,-13056,3584,12032
33,5888,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
34,-3840,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
35,-12544,-16128,15360,13568,-8448,5888,15360,5632,13312,12032
36,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
37,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
38,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
39,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
40,12544,-16128,-15360,13824,8192,5888,-15360,5888,-13312,12032
41,16128,-3584,9472,-6144,-8192,3840,7936,-12032,-6144,12032
42,13824,13824,9472,-3840,8448,-12288,10496,-13312,3584,12032
43,6144,12032,-15360,12288,-8448,15872,-14336,3840,11776,12032
44,-4096,-6400,0,-16128,8192,-13568,-1536,15616,15360,12032
45,-12544,-16128,15360,13824,-8448,5888,15360,5632,13312,12032
46,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
47,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
48,-6144,12032,15360,12288,8192,15872,14336,3840,-11776,12032
49,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
50,12544,-16128,-15360,13568,8448,5888,-15360,5888,-13312,12032
51,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
