,10khz,20khz,30khz,40khz,50khz,60khz,70khz,80khz,90khz,100khz,1khz,2khz,3khz,4khz,5khz,6khz,7khz,8khz,9khz
0,-16128,11776,4096,8960,3328,-7680,12800,4608,5120,-5888,15616,-11264,-3072,9728,-16384,-15360,-9984,-4608,13056
1,-16128,11520,3840,8704,3328,-7936,13056,4864,4864,-6144,15360,-11264,-3072,9728,-16384,-15360,-9984,-4608,13056
2,-16128,11520,3840,8704,3584,-7936,13056,5120,4608,-6400,15360,-11264,-3072,9728,-16384,-15360,-9984,-4608,13056
3,-16128,11520,3840,8448,3840,-8192,13312,5376,4352,-6912,15360,-11264,-3072,9728,-16384,-15360,-9984,-4608,13056
4,-16128,11520,3584,8448,3840,-8448,13568,5632,4096,-7168,15360,-11264,-3072,9728,-16384,-15360,-9984,-4608,13056
5,-16128,11520,3584,8448,4096,-8448,13568,5888,3584,-7424,15360,-11264,-3072,9728,-16384,-15360,-9984,-4608,13056
6,-16128,11520,3328,8192,4096,-8704,13568,6144,3328,-7680,15360,-11264,-3072,9728,-16384,-15360,-9984,-4608,13056
7,-16128,11520,3328,8192,4352,-8960,13824,6400,3072,-7936,15360,-11264,-3072,9728,-16384,-15360,-9984,-4608,13056
8,-16128,11264,3328,7936,4608,-8960,13824,6656,2816,-8192,15360,-11264,-3072,9728,-16384,-15360,-10240,-4864,13056
9,-16128,11264,3072,7936,4608,-9216,14080,6912,2560,-8448,15360,-11264,-3072,9728,-16384,-15360,-10240,-4864,13056
10,-16128,11264,3072,7680,4864,-9472,14336,7168,2048,-8960,15360,-11264,-3072,9984,-16384,-15360,-10240,-4864,13056
11,-16128,11264,2816,7680,5120,-9472,14336,7424,1792,-9472,15360,-11264,-3072,9984,-16384,-15360,-10240,-4864,13056
12,-16128,11264,2816,7424,5120,-9728,14336,7680,1536,-9472,15360,-11264,-3072,9984,-16384,-15360,-10240,-4864,13056
13,-16128,11008,2560,7424,5376,-9984,14592,7936,1024,-9984,15360,-11264,-3072,9984,-16384,-15360,-10240,-4864,13056
14,-16128,11008,2560,7168,5376,-9984,14592,8192,768,-10240,15360,-11264,-3072,9984,-16128,-15104,-10240,-4864,13056
15,-16128,11008,2560,7168,5632,-10240,14592,8192,512,-10496,15616,-11264,-3072,9984,-16384,-15104,-10240,-4864,13312
16,-16128,11008,2304,6912,5888,-10240,14848,8448,256,-10496,15360,-11264,-3328,9984,-16384,-15104,-10240,-4864,13312
17,-16128,11008,2304,6912,5888,-10496,14848,8704,0,-11008,15360,-11264,-3328,9984,-16384,-15104,-10240,-4864,13312
18,-16128,10752,2304,6912,6144,-10752,15104,8960,-256,-11008,15360,-11264,-3328,9984,-16384,-15104,-10240,-4864,13312
19,-16128,10752,2048,6656,6144,-10752,15104,9216,-512,-11264,15360,-11264,-3328,9984,-16384,-15104,-10240,-5120,13312
20,-16128,10752,2048,6656,6400,-11008,15104,9472,-1024,-11520,15360,-11264,-3328,9984,-16384,-15104,-10240,-5120,13312
21,-16128,10752,2048,6400,6656,-11008,15104,9472,-1280,-11776,15360,-11264,-3328,9984,-16384,-15104,-10496,-5120,13312
22,-16128,10752,1792,6400,6656,-11264,15360,9728,-1536,-12032,15360,-11264,-3328,9984,-16384,-15104,-10496,-5120,13312
23,-16128,10752,1792,6144,6912,-11264,15360,9984,-1792,-12288,15360,-11264,-3328,9984,-16384,-15104,-10496,-5120,13312
24,-16128,10496,1536,6144,6912,-11520,15360,10240,-2048,-12544,15360,-11264,-3328,9984,-16384,-15104,-10496,-5120,13312
25,-16128,10496,1536,5888,7168,-11776,15616,10496,-2304,-12544,15360,-11264,-3328,9984,-16384,-15104,-10496,-5120,13312
26,-16128,10496,1536,5888,7424,-11776,15616,10752,-2560,-12800,15360,-11264,-3328,9984,-16384,-15104,-10496,-5120,13312
27,-16128,10496,1280,5632,7424,-11776,15616,10752,-3072,-13056,15360,-11264,-3328,9984,-16384,-15104,-10496,-5120,13312
28,-16128,10240,1280,5632,7680,-12032,15616,11008,-3328,-13312,15360,-11264,-3328,9984,-16384,-15104,-10496,-5376,13312
29,-16128,10240,1280,5632,7680,-12288,15616,11264,-3584,-13312,15360,-11264,-3328,9984,-16128,-15104,-10496,-5376,13312
30,-16128,10240,1024,5376,7936,-12288,15872,11264,-3840,-13568,15360,-11264,-3328,9984,-16384,-15104,-10496,-5376,13568
31,-16128,10240,1024,5376,7936,-12544,15872,11520,-4096,-13824,15616,-11264,-3328,9984,-16128,-15104,-10496,-5376,13568
32,-16128,10240,768,5120,8192,-12544,15872,11776,-4352,-13824,15360,-11264,-3328,9984,-16384,-15104,-10496,-5376,13568
33,-16128,10240,768,5120,8448,-12544,15872,11776,-4608,-14080,15360,-11264,-3328,10240,-16384,-15104,-10496,-5376,13568
34,-16128,9984,768,4864,8448,-12800,15872,12032,-4864,-14336,15360,-11264,-3328,9984,-16128,-15104,-10496,-5376,13568
